ingr,Thiamin,Vitamin B12,Vitamin B6,Protein,Riboflavin,Copper,Saturated fat,Vitamin K,Fat,Phosphorus,Dietary Fiber,Vitamin E,Pantothenic acid,Magnesium,Potassium,Sodium,Biotin,Cholesterol,Folate,Niacin,Iron,Selenium,Calcium,Total carbohydrates,Zinc,Choline,Vitamin A,Vitamin C,Vitamin D
chicken,,,,0.428,,,0.0445,,0.02294871794871795,,0.0,,,,,0.07782608695652174,,0.15,,,0.0,,0.0,0.0,,,,0.0,
chickpea,,,,0.38,,,0.05,,0.07692307692307693,,0.6071428571428571,,,,,0.010434782608695653,,0.0,,,0.34,,0.07692307692307693,0.22181818181818183,,,,0.04,
chile pepper,0.0675,0.0,0.47647058823529415,0.212,0.923076923076923,0.25333333333333335,0.04065,0.9,0.07448717948717948,0.1272,1.025,0.20933333333333334,0.19119999999999998,0.20952380952380953,0.39787234042553193,0.03956521739130435,,0.0,0.1275,0.541875,0.33555555555555555,0.06363636363636363,0.03461538461538462,0.2541818181818182,0.09272727272727273,0.15327272727272725,1.4666666666666666,0.34888888888888886,0.0
chili,,,,0.11019999999999999,,,0.1905,,0.13076923076923075,,0.028571428571428574,,,,0.027872340425531914,0.16956521739130434,,0.05,,,0.025555555555555557,,0.013076923076923076,0.024654545454545457,,,,0.0,
chive,0.065,0.0,0.08117647058823531,0.0654,0.08846153846153847,0.17444444444444443,0.007299999999999999,1.775,0.009358974358974358,0.0464,0.08928571428571429,0.014,,0.1,0.06297872340425532,0.0013043478260869566,,0.0,0.2625,0.0404375,0.08888888888888889,0.016363636363636365,0.07076923076923076,0.015818181818181818,0.05090909090909091,0.009454545454545455,0.24222222222222223,0.6455555555555555,0.0
chocolate,,,,0.1464,,,0.8550000000000001,,0.37564102564102564,,0.08571428571428572,,,,,0.03695652173913044,,0.08,,,0.19499999999999998,,0.15,0.22181818181818183,,,,0.0,
cilantro,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,,,,,
cinco de mayo,,,,0.466,,0.96,,,0.011025641025641025,0.3512,0.14285714285714285,,,0.43333333333333335,0.3170212765957447,,,,,,0.24833333333333332,,0.13846153846153847,,0.3109090909090909,,,,
cinnamon,,,,0.0,,,,,0.0,,,,,,,0.0,,0.0,,,,,,0.0,,,,,
citrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000851063829787234,0.004347826086956522,,0.0,0.0,0.0,0.0,0.0,0.006153846153846154,0.041090909090909095,0.0,0.0,0.0,0.2777777777777778,0.0
clam,0.08083333333333334,1.8416666666666668,0.060588235294117644,0.1746,0.05538461538461538,0.07555555555555556,0.054000000000000006,0.08,0.06051282051282051,0.0808,0.04285714285714286,0.04933333333333333,,0.04285714285714286,0.033829787234042556,0.14173913043478262,,0.05333333333333334,0.0475,0.066875,0.0661111111111111,0.3018181818181818,0.03307692307692308,0.035745454545454546,0.04454545454545455,0.06381818181818182,0.07666666666666666,0.16333333333333333,0.005
coconut,,,,0.07139999999999999,,,1.605,,0.45769230769230773,,0.1285714285714286,,,,,0.11347826086956522,,0.0,,,0.10722222222222222,,0.0,0.16872727272727273,,,,0.0,
cod,,,,0.248,,,0.0295,,0.03769230769230769,,0.02142857142857143,,,,,0.1817391304347826,,0.10666666666666667,,,0.04722222222222222,,0.026923076923076925,0.019236363636363635,,,,0.03888888888888889,
coffee,,0.0,0.0,0.25,,,0.0,0.0,0.0,3.0,0.44642857142857145,,,,0.2936170212765957,0.6521739130434783,,0.0,,0.0,0.25,,3.3692307692307693,0.18181818181818182,0.0,,,0.0,
cognac,,,,0.07139999999999999,,,1.9649999999999999,,0.5948717948717949,,0.25357142857142856,,,,0.1746808510638298,0.03869565217391304,,0.0,,,0.39666666666666667,,0.054615384615384614,0.156,,,,,
